Film,Year,Script Type,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Opening Weekend ($),Opening weekend ($million),Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), % of Gross earned abroad,Budget ($million),Budget recovered,Budget recovered opening weekend,Oscar Winners,Oscar Detail,Link,None,Distributor,IMDb Rating,IMDB vs RT disparity,Release Date (US),"financial source, if not The numbers",Film list here: https://www.boxofficemojo.com/year/2021/
Free Guy,2021,,80,62,71,94,70,24,82,-11,action,"adventure, comedy",28365416,28.4,121626598,121.6,,,323473792,323.5,,120.0,269.56%,23.64%,,,https://www.amazon.co.uk/Free-Guy-Ryan-Reynolds/dp/B09GWC7GQP/ref=sr_1_1?crid=28GI3HYW7E4HF&keywords=free+guy&qid=1693591103&s=instant-video&sprefix=free+guy2Cinstant-video2C207&sr=1-1,,20th Century Studios,7.1,23,"August 13, 2021",,
Ghostbusters: Afterlife,2021,,64,45,55,94,77,17,86,-31,sci-fi,comedy,44008406,44.0,129360575,129.4,,,203614138,203.6,,75.0,271.49%,58.68%,,,https://www.amazon.co.uk/Ghostbusters-Afterlife-Carrie-Coon/dp/B09LZ2Y78H/ref=sr_1_1?keywords=ghostbusters+afterlife&qid=1693590781&s=instant-video&sprefix=ghostbusters2Cinstant-video2C139&sr=1-1,,Sony Pictures Entertainment (SPE),7.1,23,"November 19, 2021",,
God's Not Dead: We the People,2021,,-,-,-,100,-,-,100,-,drama,-,-,-,1170367,1.2,,,-,-,,-,-,-,,,https://www.amazon.co.uk/Gods-Not-Dead-Kevin-Sorbo/dp/B07H8PTT94/ref=sr_1_1?keywords=god27s+not+dead+we+the+people&qid=1694136301&s=instant-video&sprefix=god27s+not+dead+we2Cinstant-video2C182&sr=1-1,,Fathom Events,4.2,58,"October 4, 2021",,
Godzilla vs. Kong,2021,,75,59,67,91,70,21,81,-14,action,"sci-fi, adventure",31625971,31.6,100916094,100.9,,,468043852,468.0,,155.0,301.96%,20.40%,,,https://www.amazon.co.uk/Godzilla-vs-Kong-Alexander-Skarsgård/dp/B091CPVL6M/ref=sr_1_1?crid=3HYVNNEWK1NH9&keywords=godzilla+vs+kong&qid=1693591477&s=instant-video&sprefix=godzill2Cinstant-video2C190&sr=1-1,,Warner Bros.,6.3,28,"March 31, 2021",,
Halloween Kills,2021,,39,42,41,66,56,10,61,-21,horror,"mystery, thriller",49404980,49.4,92002155,92.0,,,130851162,130.9,,20.0,654.26%,247.02%,,,https://www.amazon.co.uk/Halloween-Kills-Jamie-Lee-Curtis/dp/B09LMNRBYF/ref=sr_1_2?crid=2V0GS8G19K2KH&keywords=halloween+kills&qid=1693592033&s=instant-video&sprefix=halloween+kills2Cinstant-video2C168&sr=1-2,,Universal Pictures,5.5,11,"October 15, 2021",,
Here Today,2021,,47,40,44,93,58,35,76,-32,comedy,drama,1042171,1.0,2807494,2.8,,,2910263,2.9,,-,-,-,,,https://www.amazon.co.uk/Here-Today-Billy-Crystal/dp/B09F2TP3HM/ref=sr_1_1?crid=30RSJK92B7WGB&keywords=Here+Today&qid=1694136020&s=instant-video&sprefix=here+today2Cinstant-video2C317&sr=1-1,,Stage 6 Films,6.7,26,"May 7, 2021",,
Hitman's Wife's Bodyguard,2021,,26,32,29,79,54,25,67,-38,action,"adventure, thriller, comedy, crime",11397820,11.4,38014727,38.0,,,67387455,67.4,,70.0,96.27%,16.28%,,,https://www.amazon.co.uk/Hitmans-Wifes-Bodyguard-Samuel-Jackson/dp/B09B93BQY4/ref=sr_1_2?crid=1EJ4RLLM5J0MS&keywords=hitman27s+wife27s+bodyguard&qid=1694130482&sprefix=hitman27s2Caps2C178&sr=8-2,,Lionsgate,6.1,18,"June 16, 2021",,
House of Gucci,2021,,61,59,60,83,78,5,81,-21,drama,"thriller, crime",14423794,14.4,53809574,53.8,,,147474138,147.5,,75.0,196.63%,19.23%,,,https://www.amazon.co.uk/House-Gucci-Lady-Gaga/dp/B09RDW1ZW9/ref=sr_1_1?crid=15YSS2TWJU9ZZ&keywords=house+of+gucci&qid=1693948155&s=instant-video&sprefix=house+of+gucci2Cinstant-video2C156&sr=1-1,,United Artists Releasing,6.6,17,"November 24, 2021",,
In the Earth,2021,,80,63,72,24,46,-22,35,37,horror,-,505723,0.5,1113723,1.1,,,1330962,1.3,,-,-,-,,,https://www.amazon.co.uk/Earth-Joel-Fry/dp/B098R6GGNW/ref=sr_1_1?crid=2R8O0OT9MBJT6&keywords=in+the+earth&qid=1694136319&s=instant-video&sprefix=in+the+earth2Cinstant-video2C288&sr=1-1,,Neon,5.1,-27,"April 23, 2021",,
In the Heights,2021,,94,84,89,94,69,25,82,8,musical,drama,11504710,11.5,29975167,30.0,,,43646976,43.6,,55.0,79.36%,20.92%,,,https://www.amazon.co.uk/Heights-Anthony-Ramos/dp/B09C7BGY4Z/ref=sr_1_1?crid=EXLCPN15EBIA&keywords=in+the+heights&qid=1694135064&s=instant-video&sprefix=in+the+hei2Cinstant-video2C276&sr=1-1,,Warner Bros.,7.3,21,"June 11, 2021",,
Judas and the Black Messiah,2021,,97,85,91,95,73,22,84,7,biography,"drama, history",2027076,2.0,5478009,5.5,,,7053949,7.1,,26.0,27.13%,7.80%,,,https://www.amazon.co.uk/Judas-Black-Messiah-Daniel-Kaluuya/dp/B08YJKN464/ref=sr_1_1?crid=1LV04NGYPR8NW&keywords=judas+and+the+black+messiah&qid=1694135797&s=instant-video&sprefix=judas+and+2Cinstant-video2C179&sr=1-1,,Warner Bros.,7.4,21,"February 12, 2021",,
Jungle Cruise,2021,,63,50,57,92,60,32,76,-20,adventure,"action, comedy, fantasy",35018731,35.0,116987516,117.0,,,210469803,210.5,,200.0,105.23%,17.51%,,,https://www.amazon.co.uk/Jungle-Cruise-UHD-Dwayne-Johnson/dp/B09DDJDBHG/ref=sr_1_1?crid=XJIIL7H2NC2S&keywords=jungle+cruise&qid=1693591121&s=instant-video&sprefix=jungle+cruise2Cinstant-video2C154&sr=1-1,,Walt Disney Studios Motion Pictures,6.6,26,"July 30, 2021",,
King Richard,2021,,90,76,83,98,66,32,82,1,biography,"drama, sport",5406033,5.4,15129285,15.1,,,37994866,38.0,,50.0,75.99%,10.81%,,,https://www.amazon.co.uk/King-Richard-Will-Smith/dp/B09NRXP9Y1/ref=sr_1_1?crid=CIJGNH10SOKO&keywords=king+richard&qid=1694135257&s=instant-video&sprefix=king+r2Cinstant-video2C281&sr=1-1,,Warner Bros.,7.5,23,"November 19, 2021",,
Lamb,2021,,86,68,77,61,62,-1,62,16,drama,"horror, mystery",1000089,1.0,2676410,2.7,,,4064302,4.1,,-,-,-,,,https://www.amazon.co.uk/Lamb-Noomi-Rapace/dp/B09KGP33X3/ref=sr_1_1?crid=A9DERF534BOG&keywords=lamb&qid=1694136070&s=instant-video&sprefix=lamb2Cinstant-video2C144&sr=1-1,,A24,6.3,-2,"October 8, 2021",,
Land,2021,,69,61,65,84,57,27,71,-6,drama,-,899810,0.9,2577830,2.6,,,3167258,3.2,,-,-,-,,,https://www.amazon.co.uk/Land-Robin-Wright/dp/B0968XXDJ3/ref=sr_1_4?crid=3LAT7HBQRX8HO&keywords=land&qid=1694136087&s=instant-video&sprefix=land2Cinstant-video2C291&sr=1-4,,Focus Features,6.7,17,"February 12, 2021",,
Last Night in Soho,2021,,75,65,70,90,71,19,81,-11,drama,"horror, mystery",4178460,4.2,10127625,10.1,,,22876948,22.9,,43.0,53.20%,9.72%,,,https://www.amazon.co.uk/Last-Night-Soho-Thomasin-McKenzie/dp/B09MKMSFTN/ref=sr_1_1?crid=2PSU0WVH40UBY&keywords=last+night+in+soho&qid=1694135604&s=instant-video&sprefix=last+night+in+soho2Cinstant-video2C200&sr=1-1,,Focus Features,7.0,20,"October 29, 2021",,
