Date,Land Class,Land Category,Commodity,Volume
07/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28033366
07/01/2006,Federal,Onshore,Gas Prod Vol (mcf),289185934
07/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8051410
07/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263141537
07/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45032289
07/01/2006,Federal,Onshore,Coal Prod Vol (tons),38606766
07/01/2006,Native American,Onshore,Oil Prod Vol (bbl),953515
07/01/2006,Native American,Onshore,Coal Prod Vol (tons),2149924
08/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8109824
08/01/2006,Federal,Offshore,Gas Prod Vol (mcf),257602688
08/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27986792
08/01/2006,Native American,Onshore,Oil Prod Vol (bbl),966665
08/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45695403
08/01/2006,Native American,Onshore,Coal Prod Vol (tons),2390795
08/01/2006,Federal,Onshore,Coal Prod Vol (tons),39664527
08/01/2006,Federal,Onshore,Gas Prod Vol (mcf),290223305
09/01/2006,Native American,Onshore,Oil Prod Vol (bbl),942195
09/01/2006,Federal,Offshore,Oil Prod Vol (bbl),41877205
09/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26767656
09/01/2006,Federal,Offshore,Gas Prod Vol (mcf),244847240
09/01/2006,Native American,Onshore,Coal Prod Vol (tons),2307367
09/01/2006,Federal,Onshore,Gas Prod Vol (mcf),279248237
09/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7859246
09/01/2006,Federal,Onshore,Coal Prod Vol (tons),35609815
10/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43792435
10/01/2006,Federal,Offshore,Gas Prod Vol (mcf),250487542
10/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27632418
10/01/2006,Native American,Onshore,Oil Prod Vol (bbl),948221
10/01/2006,Native American,Onshore,Coal Prod Vol (tons),2204949
10/01/2006,Federal,Onshore,Coal Prod Vol (tons),37555671
10/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8129997
10/01/2006,Federal,Onshore,Gas Prod Vol (mcf),302575371
11/01/2006,Federal,Offshore,Gas Prod Vol (mcf),243752127
11/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8048711
11/01/2006,Federal,Onshore,Gas Prod Vol (mcf),296208808
11/01/2006,Native American,Onshore,Coal Prod Vol (tons),2244728
11/01/2006,Native American,Onshore,Oil Prod Vol (bbl),952895
11/01/2006,Federal,Onshore,Coal Prod Vol (tons),36102415
11/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26781250
11/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42201852
12/01/2006,Native American,Onshore,Oil Prod Vol (bbl),888255
12/01/2006,Federal,Onshore,Gas Prod Vol (mcf),308300763
12/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43823983
12/01/2006,Federal,Offshore,Gas Prod Vol (mcf),248599440
12/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8267830
12/01/2006,Federal,Onshore,Coal Prod Vol (tons),39046813
12/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27106319
12/01/2006,Native American,Onshore,Coal Prod Vol (tons),2943805
01/01/2007,Native American,Onshore,Oil Prod Vol (bbl),878785
01/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26451433
01/01/2007,Federal,Onshore,Coal Prod Vol (tons),37755352
01/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8188219
01/01/2007,Federal,Onshore,Gas Prod Vol (mcf),305255731
01/01/2007,Native American,Onshore,Coal Prod Vol (tons),2289888
01/01/2007,Federal,Offshore,Oil Prod Vol (bbl),43836647
01/01/2007,Federal,Offshore,Gas Prod Vol (mcf),242907927
02/01/2007,Native American,Onshore,Gas Prod Vol (mcf),24224681
02/01/2007,Federal,Offshore,Gas Prod Vol (mcf),220205631
02/01/2007,Federal,Onshore,Gas Prod Vol (mcf),275042621
02/01/2007,Federal,Onshore,Coal Prod Vol (tons),32513916
02/01/2007,Federal,Onshore,Oil Prod Vol (bbl),7537692
02/01/2007,Federal,Offshore,Oil Prod Vol (bbl),39037673
02/01/2007,Native American,Onshore,Oil Prod Vol (bbl),835118
02/01/2007,Native American,Onshore,Coal Prod Vol (tons),2044439
03/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26900986
03/01/2007,Federal,Onshore,Gas Prod Vol (mcf),308968150
03/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8337134
03/01/2007,Federal,Onshore,Coal Prod Vol (tons),34422978
03/01/2007,Federal,Offshore,Gas Prod Vol (mcf),245248566
03/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41883454
03/01/2007,Native American,Onshore,Coal Prod Vol (tons),2488982
03/01/2007,Native American,Onshore,Oil Prod Vol (bbl),958716
04/01/2007,Federal,Offshore,Gas Prod Vol (mcf),239941517
04/01/2007,Federal,Onshore,Gas Prod Vol (mcf),296213335
04/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25926686
04/01/2007,Federal,Offshore,Oil Prod Vol (bbl),42552221
04/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8140563
